title,description,price,currency,surface_m2,rooms,listing_type,seller_name,seller_type,city,category,url,price_raw,price_range
Studio à louer,"Studio de luxe à Maarif quartier palmier 
500dh en cours de semaine
Vendredi et samedi 700dh",500,DH,,,Location,,,Maarif,Appartements,https://www.avito.ma/fr/maarif/appartements/Studio_à_louer_57605822.htm,500,Budget
Immeuble avec un revenu annuel,"À vendre, immeuble avec un revenu annuel estimé à
1.200.000,00",19500000,DH,,,Vente,,,Hassan,Autre Immobilier,https://www.avito.ma/fr/hassan/autre_immobilier/Immeuble_avec_un_revenu_annuel_56787403.htm,19500000,Luxury
Location Bureau de 259 m2 à Casablanca,"Je mets en location deux beaux plateaux bureau neufs, dans un immeuble d'entreprises haut standing.

Idéalement situés au 2e étage et face à une station de tramway, ils offrent un espace modulable, moderne et lumineux.

Ils disposent également chacun d'un cabinet de toilette, d'une kitchenette et d'",29000,DH,,,Location,,,Centre Ville,Bureaux,https://www.avito.ma/fr/centre_ville/bureaux/Location_Bureau_de_259_m2_à_Casablanca_56031349.htm,29000,Budget
Location Bureau de 187 m2 à Casablanca,"!! EXCLUSIVITÉ MILKIYA !!

Je mets en location un plateau de bureau bien équipé de 187 m², situé sur le boulevard Zerktouni, Casablanca. 

Il se compose d'un grand espace ouvert avec balcon, d'un grand bureau, d'un bureau de direction avec salle de bain indépendant, d'un autre bureau indépendant, de",18000,DH,187.0,,Location,,,Racine,Bureaux,https://www.avito.ma/fr/racine/bureaux/Location_Bureau_de_187_m2_à_Casablanca_57597564.htm,18000,Budget
Vente Local de 98 m2 à Bouskoura,"Abderrahmane ELKARMOUCHI vous propose à la vente une excellente opportunité d'investissement située à Bouskoura.

Ce local commercial de 98 m² bénéficie d'une configuration optimale, ce qui en fait une affaire idéale pour l'aménagement d'une crèche, d'une garderie ou d'un centre de cours du soir.

I",950000,DH,98.0,,Vente,,,Bouskoura Centre,Local,https://www.avito.ma/fr/bouskoura_centre/local/Vente_Local_de_98_m2_à_Bouskoura_57492598.htm,950000,Mid-range
Appartement à vendre 61 m² à Marrakech,"Très beau rez-de-jardin à vendre – Résidence Isli, Noria Golf, Marrakech

Situé au sein de la prestigieuse résidence Isli à Noria Golf Marrakech, ce magnifique rez-de-jardin neuf offre une superficie habitable de 61 m², complétée par un jardin privatif de 19 m², idéal pour profiter d’un cadre de vie",1550000,DH,61.0,,Vente,,,Route De Tahanaoute,Appartements,https://www.avito.ma/fr/route_de_tahanaoute/appartements/Appartement_à_vendre_61_m²_à_Marrakech_57680048.htm,1550000,Premium
✅️✅️Appartement confortable ✅️✅️,Appartement confortable par nuit à Casablanca quartier maarif avec chambre salon cuisine et salle de bain.,500,DH,,,Vente,,,Anfa,Appartements,https://www.avito.ma/fr/anfa/appartements/____Appartement_confortable______57710919.htm,500,Budget
Location Bureau 4 piéces de 180 m2 à Casablanca,"Je mets en location un magnifique plateau de bureaux de 180 m² à deux pas des Twins Center à Casablanca.

Situé au 2ème étage d'un immeuble de standing, Il est constitué de quatre grands espaces de bureaux dont un pouvant servir d'Open Space, d'un grand hall d'accueil, d'un espace cuisine avec buand",11000,DH,180.0,,Location,,,Maarif,Bureaux,https://www.avito.ma/fr/maarif/bureaux/Location_Bureau_4_piéces_de_180_m2_à_Casablanca_55151748.htm,11000,Budget
Location Local de 555 m2 à Casablanca,"Je mets en location dans le centre de Casablanca, une villa prestigieuse, classée au patrimoine historique, pouvant accueillir différents types d'activités (consulat, CCI, siège d'entreprise, centre de formation, école, restaurant étoilé, ...).

Ce bien d'exception très bien entretenu est situé dans",100000,DH,,,Location,,,Sidi Belyout,Local,https://www.avito.ma/fr/sidi_belyout/local/Location_Local_de_555_m2_à_Casablanca_57704021.htm,100000,Budget
Appartement vente Abdelmoumen,"Nous mettons un bel appartement à vendre en résidence fermée et sécurisée bien entretenue, au niveau du BoulevardAbdelmoumen Quartier des Hôpitaux. Appartement situé au RDC avec une superficie totale de 186m2, dont 156 habitables, une belle terrasse. Place de parking titrée. Trois chambres spacieuse",2800000,DH,186.0,,Vente,,,Abdelmoumen,Appartements,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_vente_Abdelmoumen_57617659.htm,2800000,Premium
