policy_number,age,months_as_customer,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_type,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,property_damage,police_report_available,total_claim_amount,auto_make,auto_year,vehicle_claim,property_claim,injury_claim,fraud_reported
POL10433218,56,101,IL,100/300,1500,4901.65,M,BS,Construction,45715.57734975576,7536.270376452233,Hit and Run,Major Damage,14,1,1,0,YES,YES,5029.45,Ford,2013,2232.92,2008.37,301.17,N
POL19600133,69,155,IN,100/300,2000,1950.26,M,BS,Legal,32732.929106020652,10652.883369950168,Parked Car Damage,Total Loss,22,2,0,2,NO,NO,73239.02525999455,BMW,2015,3858.37,2565.51,1511.43,Y
POL89083863,46,175,IN,500/1000,1000,3950.56,F,BS,Construction,16929.533643289684,14532.736519719985,Multi-Vehicle Collision,Trivial Damage,22,1,1,0,YES,NO,9358.879128459947,Nissan,2008,725.7,360.81,124.8,Y
POL79402654,32,5,PA,100/300,1500,1072.29,F,BS,Education,5628.513026671034,16184.329509831463,Hit and Run,Total Loss,19,1,2,2,YES,NO,14630.379625729145,Honda,2025,1042.15,200.97,264.58,Y
POL23511615,60,158,IN,250/500,2000,3977.89,F,High School,Legal,46974.66675825382,16589.118702595653,Single Vehicle Collision,Trivial Damage,14,1,1,1,NO,YES,1590.02,Chevrolet,2016,876.19,632.63,78.89,N
POL59407816,25,13,OH,250/500,500,2666.85,M,MS,Construction,46019.026871063325,16469.175145392892,Multi-Vehicle Collision,Trivial Damage,17,1,2,0,YES,YES,370.18,BMW,2019,161.92,141.04,40.93,N
POL18495931,38,116,IL,500/1000,1000,4371.23,M,High School,Medical,37160.106385318795,24847.248510200363,Vehicle Rollover,Minor Damage,1,1,1,1,YES,YES,4427.78,Toyota,2014,2256.29,1036.2,652.13,N
POL03413164,56,1,IL,500/1000,1500,1456.73,F,PhD,Finance,46694.31499447378,12138.01914847499,Hit and Run,Total Loss,11,3,2,0,NO,NO,132584.13366993092,Ford,2021,6489.9,4411.1,433.41,Y
POL75255341,36,72,OH,500/1000,1500,3526.96,F,High School,Tech,6988.02161926328,329.1362250981189,Broken Windshield,Trivial Damage,3,1,1,0,NO,NO,1804.74,Chevrolet,2022,1328.69,631.23,293.24,N
POL92832764,40,90,PA,250/500,500,4037.54,F,High School,Other,5462.492806882368,26270.80959564014,Theft,Minor Damage,9,1,2,0,YES,YES,3320.1,Audi,2006,2449.72,684.48,572.99,N
POL83503056,28,215,IN,500/1000,500,1411.22,F,MS,Finance,9602.019719555177,19867.56558550841,Multi-Vehicle Collision,Major Damage,8,2,0,1,YES,YES,4350.55,BMW,2017,2845.61,1572.36,677.08,N
POL41395376,28,204,IN,100/300,1000,4182.29,M,PhD,Legal,10774.61751980544,5684.44580828231,Multi-Vehicle Collision,Major Damage,13,2,1,2,YES,YES,3784.42,Nissan,2018,2611.58,553.72,46.55,N
POL72423884,41,89,IL,500/1000,1000,4810.93,F,PhD,Retail,41358.45612203064,888.0268755766064,Hit and Run,Minor Damage,15,2,0,1,YES,NO,2767.63,Chevrolet,2006,1972.68,1004.06,432.74,N
POL96965328,70,28,PA,100/300,1000,3272.35,M,BS,Retail,46086.745675272505,9473.395718015357,Vehicle Rollover,Minor Damage,0,2,0,0,YES,YES,4433.75,Audi,2018,2770.48,498.72,1059.81,N
